BA_BOMBOFF barney/of6a4_ba01

BA_CANAL_DEATH1 barney/ba_canal_death1

BA_CANAL_WOUND2 barney/ba_canal_wound1

BA_CHAT1 barney/ba_friends

BA_CLOSEONE barney/of6a4_ba02

BA_DIE1 barney/ba_die1

BA_HEY barney/ba_heeey

BA_PAIN1 barney/ba_pain1

BA_POWER1 barney/ba_power1
BA_POWER2 barney/ba_power2
BA_POWER3 barney/ba_power3
BA_POWER4 barney/ba_power4

BA_POWER_WOUND1 barney/ba_power_wound1
BA_POWER_WOUND2 barney/ba_power_wound2

BA_PQUEST0 barney/_comma

BA_SEC1_D1 barney/ba_security1_door1
BA_SEC1_D2 barney/ba_security1_door2
BA_SEC1_D3 barney/ba_security1_door3

BA_SEC2_ADMIN barney/ba_security2_admin

BA_SEC2_DESK1 barney/ba_security2_desk1
BA_SEC2_DESK2 barney/ba_security2_desk2

BA_SEC2_NOPASS barney/ba_security2_nopass

BA_SEC2_PASS barney/ba_security2_pass

BA_SEC2_RANGE1 barney/ba_security2_range1
BA_SEC2_RANGE2 barney/ba_security2_range2

BA_STORAGEUNIT barney/of6a4_ba03

BG_ANSWER0 bodyguard/_comma

BG_ATTACK0 bodyguard/getshitoverwith

BG_CUREA bodyguard/looklikeshit
BG_CUREB bodyguard/hellhappenedyou
BG_CUREC bodyguard/notaninjury

BG_HELLO0 bodyguard/hello
BG_HELLO1 bodyguard/whatsgoinon
BG_HELLO2 bodyguard/someonescoming

BG_IDLE0 bodyguard/pathetic
BG_IDLE1 bodyguard/mondays
BG_IDLE2 bodyguard/shownupdrunk
BG_IDLE3 bodyguard/shootface
BG_IDLE4 bodyguard/nicesuit

BG_KILL0 bodyguard/whathelljoke
BG_KILL1 bodyguard/layeggs
BG_KILL2 bodyguard/ashestoashes

BG_MAD0 bodyguard/bringiton
BG_MAD1 bodyguard/heyoverhere
BG_MAD2 bodyguard/primalroar

BG_MORTAL0 bodyguard/justafleshwound

BG_OK0 bodyguard/letsmove
BG_OK1 bodyguard/babysitter
BG_OK2 bodyguard/yougotit

BG_POK0 bodyguard/imbusy
BG_POK1 bodyguard/getlost
BG_POK2 bodyguard/palimworking
BG_POK3 bodyguard/onassignment

BG_PQUEST0 bodyguard/_comma

BG_QUESTION0 bodyguard/_comma

BG_SCARED0 bodyguard/hellareyoudoing
BG_SCARED1 bodyguard/knockitoff
BG_SCARED2  bodyguard/backoff

BG_SHOT0 bodyguard/hellaimingat
BG_SHOT1 bodyguard/watchyourfire
BG_SHOT2 bodyguard/wounded1

BG_SMELL0 bodyguard/happenedhere

BG_STARE0 bodyguard/_comma

BG_STOP0 bodyguard/stop1
BG_STOP1 bodyguard/stop2
BG_STOP2 bodyguard/stop3

BG_WAIT0 bodyguard/stop3
BG_WAIT1 bodyguard/laterfellas
BG_WAIT2 bodyguard/waitinrighthere
BG_WAIT3 bodyguard/seeyalater

BG_WOUND0 bodyguard/pain1
BG_WOUND1 bodyguard/pain2
BG_WOUND2 bodyguard/pain3
BG_WOUND3 bodyguard/pain4

BO_BECAREFUL ops/of6a2_bo01

BO_CLEANUP ops/of2a5_bo01

BO_COVERED ops/of6a2_bo02

BO_GETDOWN ops/of6a2_bo03

BO_PACKAGE ops/of2a5_bo02

BO_SOONER ops/of2a5_bo03

FG_ALERT0 fgrunt/alert
FG_ALERT1 fgrunt/down
FG_ALERT2 fgrunt/bogies
FG_ALERT3 fgrunt/hostiles

FG_ANSWER0 fgrunt/roger
FG_ANSWER1 fgrunt/quiet
FG_ANSWER2 fgrunt/no

FG_ATTACK0 fgrunt/flank
FG_ATTACK1 fgrunt/wantsome

FG_ATTACK10 fgrunt/covering
FG_ATTACK11 fgrunt/ass

FG_ATTACK2 fgrunt/freaks
FG_ATTACK3 fgrunt/recon
FG_ATTACK4 fgrunt/rapidfire
FG_ATTACK5 fgrunt/sweep
FG_ATTACK6 fgrunt/suppressing
FG_ATTACK7 fgrunt/marines
FG_ATTACK8 fgrunt/moveup
FG_ATTACK9 fgrunt/go

FG_BITOFF fgrunt/of2a4_fg01

FG_BLACKOPS fgrunt/of6a1_fg01

FG_BRIEFING fgrunt/of2a6_fg01

FG_CHARGE0 fgrunt/go
FG_CHARGE1 fgrunt/getsome
FG_CHARGE2 fgrunt/move

FG_CHECK0 fgrunt/check
FG_CHECK1 fgrunt/zone

FG_CLEAR0 fgrunt/clear
FG_CLEAR1 fgrunt/area

FG_COOPER fgrunt/of1a6_fg01

FG_COVER0 fgrunt/clear
FG_COVER1 fgrunt/cover
FG_COVER2 fgrunt/staydown

